id,luas_tanah_m2,luas_bangunan_m2,kelas
D001,55,34,Murah
D002,89,56,Murah
D003,93,44,Murah
D004,115,76,Murah
D005,53,42,Murah
D006,92,35,Murah
D007,62,56,Murah
D008,212,106,Mahal
D009,100,32,Murah
D010,94,59,Murah
D011,122,106,Mahal
D012,104,40,Murah
D013,171,165,Mahal
D014,109,78,Murah
D015,130,108,Mahal
D016,229,112,Mahal
D017,177,139,Mahal
D018,171,130,Mahal
D019,126,110,Mahal
D020,174,161,Mahal
D021,71,50,Murah
D022,123,99,Mahal
D023,79,71,Murah
D024,214,138,Mahal
D025,108,53,Murah
D026,116,106,Mahal
D027,211,171,Mahal
D028,116,111,Mahal
D029,96,62,Murah
D030,108,35,Murah
D031,211,138,Mahal
D032,181,95,Mahal
D033,74,35,Murah
D034,221,102,Mahal
D035,185,162,Mahal
D036,84,43,Murah
D037,162,142,Mahal
D038,107,82,Murah
D039,227,137,Mahal
D040,92,46,Murah
D041,227,149,Mahal
D042,75,52,Murah
D043,114,72,Murah
D044,118,48,Murah
D045,107,62,Murah
D046,217,123,Mahal
D047,89,49,Murah
D048,63,39,Murah
D049,111,89,Mahal
D050,146,130,Mahal
D051,213,179,Mahal
D052,147,136,Mahal
D053,89,54,Murah
D054,88,75,Murah
D055,203,120,Mahal
D056,82,50,Murah
D057,173,109,Mahal
D058,99,71,Murah
D059,228,88,Mahal
D060,216,91,Mahal
D061,204,147,Mahal
D062,106,57,Murah
D063,71,44,Murah
D064,168,156,Mahal
D065,199,175,Mahal
D066,156,101,Mahal
D067,145,134,Mahal
D068,57,38,Murah
D069,94,70,Murah
D070,109,42,Murah
D071,118,106,Mahal
D072,118,35,Murah
D073,99,53,Murah
D074,96,37,Murah
D075,164,157,Mahal
D076,61,51,Murah
D077,182,165,Mahal
D078,165,131,Mahal
D079,110,52,Murah
D080,187,110,Mahal
