ID;Usia;Jenis_Kelamin;Status_Pernikahan;Pendidikan;Jumlah_Anak;Wilayah;Jenis_Pekerjaan;Lama_Bekerja_Tahun;Pendapatan_Bulanan;Pengeluaran_Bulanan;Nilai_Aset;Hutang_Existing;Kepemilikan_Rumah;Riwayat_Kredit;Skor_Kesehatan_Keuangan;Jumlah_Rekening;Tujuan_Pinjaman;Jumlah_Pinjaman;Tenor_Bulan;Layak_Kredit
1;50;Perempuan;Lajang;S1;1;Sumatera;Wirausaha;12;3836309;3960159;357458043;85258056;Menumpang;Buruk;390;3;Renovasi Rumah;6453935;48;Tidak Layak
2;31;Perempuan;Menikah;S1;2;Kalimantan;Wirausaha;23;4378078;2542437;693051705;135084030;Menumpang;Tidak Ada Riwayat;617;5;Modal Usaha;96699254;12;Tidak Layak
3;39;Laki-laki;Lajang;S1;4;Sumatera;Wirausaha;34;10273812;3734647;242321898;94778034;Milik Sendiri;Cukup;439;1;Renovasi Rumah;31754282;12;Tidak Layak
4;20;Perempuan;Lajang;SMA;1;Kalimantan;Swasta;23;14368148;8668265;60753737;146785506;Milik Sendiri;Buruk;311;5;Renovasi Rumah;123301296;36;Tidak Layak
5;56;Perempuan;Menikah;SMP;4;Sulawesi;PNS;11;10295732;5942607;219269910;16765938;Kontrak;Buruk;635;3;Modal Usaha;32199293;36;Layak
6;26;L;Lajang;S1;1;Bali;Swasta;1;8477485;8700792;500914351;127491517;Menumpang;Baik;675;4;Modal Usaha;8457758;60;Layak
7;57;Laki-laki;Menikah;D3;3;Sulawesi;Swasta;2;16570283;15942549;48507811;117135560;Sewa;Cukup;319;4;Konsumtif;137198346;24;Layak
8;63;Perempuan;Duda/Janda;S1;5;Sulawesi;Swasta;17;5253064;5313763;73977219;28379234;Kontrak;Cukup;802;4;Pendidikan;165472780;12;Tidak Layak
9;25;Perempuan;Menikah;S1;3;Sumatera;Tidak Bekerja;;465177;500667;112334316;28139075;Sewa;Baik;572;4;Modal Usaha;139794532;12;Tidak Layak
10;35;Perempuan;Menikah;SD;1;Sumatera;Wirausaha;21;1782507;882666;444237207;62525903;Sewa;Cukup;822;5;Modal Usaha;111072712;12;Tidak Layak
11;41;Laki-laki;Lajang;SMA;2;Sulawesi;Wirausaha;15;13557975;5725859;706177022;46140430;Milik Sendiri;Baik;770;1;Renovasi Rumah;100647549;36;Layak
12;18;Perempuan;Menikah;D3;1;Sulawesi;Swasta;21;;2864132;376011267;90380760;Sewa;Baik;697;1;Modal Usaha;124232933;36;Layak
13;55;Laki-laki;Lajang;SMA;2;Jawa;Tidak Bekerja;;482596;500000;545541709;58347302;Kontrak;Baik;641;2;Renovasi Rumah;121081689;36;Layak
14;20;Perempuan;Cerai;SMA;2;Sumatera;Swasta;3;16188225;15542965;272677400;111985067;Kontrak;Buruk;703;4;Modal Usaha;79867348;36;Tidak Layak
15;38;Laki-laki;Menikah;SMA;4;Kalimantan;Freelance;10;4249816;3657411;530435484;230983;Sewa;Baik;668;1;Modal Usaha;35836260;36;Layak
16;37;Perempuan;Menikah;S1;3;Jawa;Swasta;11;12470667;13551339;454949231;28522612;Milik Sendiri;Baik;643;3;Renovasi Rumah;78552579;60;Layak
17;33;Perempuan;Lajang;S1;2;Jawa;Wirausaha;25;664301256;957604;420800121;41763116;Milik Sendiri;Cukup;534;5;Modal Usaha;47913437;84;Layak
18;45;Laki-laki;Lajang;S1;3;Bali;Swasta;13;17799877;11487949;245722730;17808395;Milik Sendiri;Cukup;363;1;Investasi;6529283;48;Layak
19;42;Laki-laki;Menikah;D3;3;Sumatera;PNS;8;12028136;14396366;365711250;51018194;Milik Sendiri;Baik;847;1;Modal Usaha;50755003;84;Layak
20;64;Perempuan;Menikah;S2;0;Bali;Swasta;21;16107714;18639619;543668537;96408913;Milik Sendiri;Baik;628;5;Kesehatan;105655593;36;Layak
21;45;Perempuan;Duda/Janda;D3;2;Jawa;Freelance;4;14250672;10597808;285194347;123657119;Sewa;Buruk;679;3;Pendidikan;99966239;24;Tidak Layak
22;27;Perempuan;Menikah;SMA;4;Jawa;PNS;30;11066650;10536545;560009164;91365983;Kontrak;Baik;595;2;Kesehatan;105656373;36;Layak
23;37;Laki-laki;Menikah;SD;3;Kalimantan;Swasta;11;6466057;6270721;602764785;41991712;Kontrak;Cukup;721;2;Investasi;191783386;48;Layak
24;19;Perempuan;Menikah;SMA;4;Sulawesi;Freelance;26;11838294;10028910;321803197;77956250;Kontrak;Cukup;371;5;Kesehatan;172223584;60;Layak
25;41;Perempuan;Lajang;S2;2;Jawa;Swasta;16;3027479;3245298;352901342;90745019;Milik Sendiri;Baik;513;1;Renovasi Rumah;179159068;12;Layak
26;31;Laki-laki;Menikah;S1;2;Jawa;Swasta;4;2696890;2282458;406063191;110500592;Kontrak;Cukup;504;1;Renovasi Rumah;140734288;36;Tidak Layak
27;61;Perempuan;Lajang;SMA;3;Kalimantan;Freelance;8;11936066;7464863;603390899;73157461;Kontrak;Buruk;774;3;Renovasi Rumah;79984949;60;Layak
28;55;Perempuan;Menikah;SMA;0;Jawa;Wirausaha;22;10770824;11928661;384206870;149829185;Kontrak;Baik;;5;Kesehatan;132773037;24;Layak
29;46;Perempuan;Lajang;SMA;1;Jawa;Swasta;24;13371277;6729251;540303337;120810159;Menumpang;Tidak Ada Riwayat;446;3;Kesehatan;20542137;84;Tidak Layak
30;22;Perempuan;Lajang;D3;2;Sumatera;Wirausaha;11;10464916;3829667;302421562;56289894;Kontrak;Cukup;757;5;Pendidikan;64872767;84;Layak
31;25;Perempuan;Menikah;SMA;0;Jawa;Swasta;5;7003223;4911822;727903142;83267515;Milik Sendiri;Cukup;478;1;Pendidikan;6113572;36;Tidak Layak
32;45;Perempuan;Menikah;SMP;4;Jawa;Swasta;22;12927212;14890124;;;Menumpang;Tidak Ada Riwayat;357;4;Konsumtif;190405313;12;Tidak Layak
33;59;Perempuan;Lajang;SMA;0;Sumatera;PNS;9;6887590;3281566;307779191;134241676;Sewa;Buruk;587;5;Kesehatan;175818648;12;Tidak Layak
34;18;Perempuan;Lajang;S1;0;Jawa;Wirausaha;34;5801936;5238602;;116064086;Menumpang;Baik;660;2;Kesehatan;110961108;60;Layak
