id,luas_tanah,luas_bangunan,jarak_kota,kelas
H0204,174,75,6,Mahal
H0267,217,118,2.8,Mahal
H0153,127,87,3.1,Mahal
H0010,154,133,16.3,Murah
H0234,193,119,5.5,Mahal
H0227,172,105,8.9,Mahal
H0197,153,107,6.3,Mahal
H0110,76,60,15.1,Murah
H0006,185,133,15.8,Murah
H0176,113,100,6.5,Mahal
H0238,104,79,5.7,Mahal
H0058,72,55,12.8,Murah
H0219,249,113,5.1,Mahal
H0046,60,36,11.3,Murah
H0183,80,50,6.9,Mahal
H0222,183,99,2,Mahal
H0290,203,146,6.7,Mahal
H0212,162,89,5.2,Mahal
H0149,107,64,7.9,Murah
H0166,138,84,2.1,Mahal
H0079,90,77,9.6,Murah
H0114,105,84,16.4,Murah
H0250,150,102,6.4,Mahal
H0251,160,111,9.1,Mahal
H0105,79,70,10,Murah
H0043,132,87,16.7,Murah
H0282,134,123,3.2,Mahal
H0296,162,128,2.9,Mahal
H0158,104,79,1.9,Mahal
H0239,176,116,6.8,Mahal
H0018,168,108,15.4,Murah
H0165,138,80,3.3,Mahal
H0034,88,76,13.9,Murah
H0025,68,44,9.1,Murah
H0216,137,96,6.7,Mahal
H0120,123,76,12.2,Murah
H0008,189,134,16.4,Murah
H0091,93,73,10,Murah
H0047,89,73,14.2,Murah
H0074,129,82,13.8,Murah
H0094,62,35,12.5,Murah
H0077,80,64,13.2,Murah
H0287,152,89,5.4,Mahal
H0061,77,68,12.1,Murah
H0078,82,60,11,Murah
H0064,99,56,10.3,Murah
H0235,168,117,5,Mahal
H0230,184,125,7,Mahal
H0112,74,51,14.2,Murah
H0232,122,105,6.2,Mahal
H0181,220,110,4.7,Mahal
H0145,55,38,14.4,Murah
H0240,163,135,6.4,Mahal
H0076,111,74,13.2,Murah
H0298,175,118,4,Mahal
H0279,169,124,3.7,Mahal
H0098,100,75,12.8,Murah
H0093,64,52,9.8,Murah
H0193,211,95,5.7,Mahal
H0026,104,61,6.9,Murah
H0233,185,123,7.7,Mahal
H0060,113,88,12.7,Murah
H0007,173,118,15.7,Murah
H0186,150,122,7.3,Mahal
H0174,170,136,5.3,Mahal
H0031,86,63,9,Murah
H0023,65,42,10.2,Murah
H0257,145,111,5.5,Mahal
H0057,93,64,9.5,Murah
H0187,214,103,8.8,Mahal
H0109,79,70,8.5,Murah
H0127,92,73,11.6,Murah
H0231,172,116,4.5,Mahal
H0194,166,129,4.5,Mahal
H0130,102,74,9.6,Murah
H0283,132,103,8.4,Mahal
H0083,99,51,12,Murah
H0085,53,25,8,Murah
H0067,96,65,12.5,Murah
H0289,171,110,6.5,Mahal
H0164,94,73,2.3,Mahal
H0155,101,70,1.3,Mahal
H0020,150,134,13.9,Murah
H0125,138,63,14,Murah
H0080,102,64,11.5,Murah
H0115,97,68,10.6,Murah
H0119,87,67,11.3,Murah
H0073,86,61,9.8,Murah
H0016,146,126,18,Murah
H0011,160,111,16,Murah
H0195,163,96,6.2,Mahal
H0102,115,53,12.3,Murah
H0069,101,90,10.6,Murah
H0225,191,123,4.9,Mahal
H0038,106,77,11.6,Murah
H0017,172,132,18.3,Murah
H0180,181,79,4.7,Mahal
H0148,85,63,10.2,Murah
H0275,179,104,3.7,Mahal
H0068,91,57,11.6,Murah
H0229,126,91,6.6,Mahal
H0070,97,70,8.2,Murah
H0032,72,51,10,Murah
H0184,166,115,4.9,Mahal
H0266,135,120,3.8,Mahal
H0226,200,168,8.7,Mahal
H0141,113,86,13.9,Murah
H0019,175,122,16.8,Murah
H0182,210,130,5.9,Mahal
H0097,76,49,9.6,Murah
H0133,79,66,16.1,Murah
H0263,205,108,7.4,Mahal
H0087,74,46,10,Murah
H0249,188,138,7.9,Mahal
H0246,136,123,5.5,Mahal
H0117,110,78,10.3,Murah
H0147,113,73,10.5,Murah
H0293,143,118,6.1,Mahal
H0198,158,109,6.4,Mahal
H0207,156,96,6.6,Mahal
H0056,81,63,13.3,Murah
H0173,141,129,8.4,Mahal
H0185,139,104,4.8,Mahal
H0168,101,82,1.7,Mahal
H0140,108,88,10,Murah
H0254,135,108,4.3,Mahal
H0039,86,59,8.5,Murah
H0126,69,44,10.7,Murah
H0196,194,104,8,Mahal
H0284,128,97,6.8,Mahal
H0138,79,55,8.6,Murah
H0113,130,93,10.3,Murah
H0169,92,75,1.1,Mahal
H0118,97,74,11.7,Murah
H0278,163,122,4.5,Mahal
H0272,144,96,8.5,Mahal
H0156,102,91,3,Mahal
H0177,131,83,5.1,Mahal
H0179,141,94,6.3,Mahal
H0003,190,106,15.1,Murah
H0116,121,64,11,Murah
H0144,104,56,12.7,Murah
H0178,177,119,7.5,Mahal
H0121,77,57,10,Murah
H0211,169,106,5.2,Mahal
H0261,169,128,6.4,Mahal
H0128,111,85,13.8,Murah
H0075,96,53,9.5,Murah
H0030,97,69,12.8,Murah
H0084,110,63,9.9,Murah
H0270,169,120,5.5,Mahal
H0108,136,66,10.7,Murah
H0224,178,102,9.2,Mahal
H0159,121,73,2.2,Mahal
H0281,133,97,6.4,Mahal
H0247,124,106,4.4,Mahal
H0223,127,89,4.1,Mahal
H0066,121,68,13.8,Murah
H0199,202,125,5.2,Mahal
H0086,91,62,11.6,Murah
H0214,124,87,6,Mahal
H0160,130,71,2.8,Mahal
H0013,142,118,16.1,Murah
H0036,118,88,10.8,Murah
H0029,77,52,9,Murah
H0143,109,61,12.4,Murah
H0285,234,123,5.9,Mahal
H0255,176,109,10.3,Mahal
H0171,169,113,7.4,Mahal
H0052,103,63,10.5,Murah
H0096,88,60,13.6,Murah
H0209,173,131,6.4,Mahal
H0248,146,135,6.6,Mahal
H0042,115,45,13,Murah
H0090,73,55,12.3,Murah
H0245,96,71,3.9,Mahal
H0137,137,89,9,Murah
H0027,98,61,13.1,Murah
H0294,185,117,6.6,Mahal
H0142,102,71,11.2,Murah
H0201,129,99,5.3,Mahal
H0001,145,120,14.1,Murah
H0269,159,99,6.2,Mahal
H0273,153,133,5.5,Mahal
H0101,90,80,12.6,Murah
H0260,174,97,7.6,Mahal
H0256,194,98,7.3,Mahal
H0172,175,107,6.3,Mahal
H0099,95,67,9.2,Murah
H0037,65,39,10.5,Murah
H0062,100,72,11.5,Murah
H0151,108,85,2.5,Mahal
H0237,127,96,10.7,Mahal
H0203,169,79,6.6,Mahal
H0243,196,99,9.7,Mahal
H0012,154,116,16.6,Murah
H0297,166,98,3.8,Mahal
H0268,167,114,7.6,Mahal
H0028,50,34,11.1,Murah
H0220,169,101,7.1,Mahal
H0005,166,114,18.5,Murah
H0123,95,79,11.2,Murah
H0033,129,103,11.2,Murah
H0205,213,169,8.8,Mahal
H0163,133,75,1.2,Mahal
H0210,172,93,10.1,Mahal
H0286,168,108,8.7,Mahal
H0139,108,81,11.6,Murah
H0063,95,66,13.5,Murah
H0136,75,58,7.5,Murah
H0129,92,63,11.3,Murah
H0291,143,116,4.2,Mahal
H0009,179,127,14.4,Murah
H0071,123,86,12.9,Murah
H0265,146,109,8.9,Mahal
H0065,86,57,7.4,Murah
H0045,80,62,11.9,Murah
H0280,183,102,4.7,Mahal
H0157,125,78,2.2,Mahal
H0041,112,77,14.3,Murah
H0124,99,70,13.3,Murah
H0276,186,94,7.1,Mahal
H0217,147,126,8.8,Mahal
H0154,102,74,1.3,Mahal
H0024,135,57,7.4,Murah
H0262,107,95,7.1,Mahal
H0111,69,55,16.1,Murah
H0082,94,67,13.8,Murah
H0208,178,83,5.1,Mahal
H0213,182,113,7.2,Mahal
H0040,113,77,9.5,Murah
H0241,188,105,4.9,Mahal
H0292,185,128,8.8,Mahal
H0259,200,111,5.3,Mahal
H0200,139,125,3.3,Mahal
H0015,183,134,15.8,Murah
H0048,104,58,10.7,Murah
H0095,72,45,14.4,Murah
H0264,193,118,4.7,Mahal
H0228,135,121,6.5,Mahal
H0274,131,103,7.7,Mahal
H0202,163,100,4.4,Mahal
H0162,95,89,2.5,Mahal
H0044,92,76,11.4,Murah
H0218,208,126,7.3,Mahal
H0146,123,39,11.5,Murah
H0191,111,96,4.6,Mahal
H0221,188,125,3.9,Mahal
H0252,181,142,5,Mahal
H0004,175,126,18.1,Murah
H0106,126,72,15.2,Murah
H0054,134,75,13.6,Murah
H0134,79,56,9.9,Murah
H0002,164,132,16.8,Murah
H0132,110,63,5.9,Murah
H0104,72,55,13.8,Murah
H0050,112,53,14.1,Murah
H0081,108,54,11.5,Murah
H0206,155,129,9.9,Mahal
H0035,87,55,14.1,Murah
H0092,98,86,10,Murah
H0053,77,49,13.2,Murah
H0242,225,106,5.6,Mahal
H0014,180,134,17.6,Murah
H0089,95,80,12.9,Murah
H0167,109,80,2.2,Mahal
H0295,127,97,7.2,Mahal
H0135,107,50,10.8,Murah
H0288,149,110,8.1,Mahal
H0244,152,83,7.5,Mahal
H0055,88,55,10.8,Murah
H0051,103,53,12.7,Murah
H0175,133,114,4.6,Mahal
H0190,188,117,6.1,Mahal
H0299,147,102,6.2,Mahal
H0188,124,95,4.2,Mahal
H0170,111,71,2.3,Mahal
H0059,124,66,14.3,Murah
H0049,116,92,11.3,Murah
H0236,138,108,5.3,Mahal
H0253,147,128,4.8,Mahal
H0022,110,71,11.1,Murah
H0161,117,74,1.9,Mahal
H0277,171,139,7.5,Mahal
H0192,138,94,3.1,Mahal
H0258,163,85,2.1,Mahal
H0150,93,72,8.3,Murah
H0131,64,42,12.8,Murah
H0152,124,94,1.5,Mahal
H0100,110,82,12.4,Murah
H0088,82,51,12.8,Murah
H0215,146,129,7.1,Mahal
H0122,108,80,11.2,Murah
H0300,173,101,6.8,Mahal
H0021,67,54,11.1,Murah
H0189,183,107,7.7,Mahal
H0072,67,47,11.3,Murah
H0107,107,40,14,Murah
H0271,192,136,5.7,Mahal
H0103,68,50,11.2,Murah
