"ID,Jam_Belajar,Kehadiran,Nilai_Tugas,Ikut_Bimbel,Warna_Tas,Nomor_Kursi,Lulus"
"1,5,90,85,Ya,Merah,12,Ya"
"2,2,60,65,Tidak,Biru,7,Tidak"
"3,4,80,75,Ya,Hitam,3,Ya"
"4,1,50,60,Tidak,Hijau,18,Tidak"
"5,6,95,90,Ya,Biru,9,Ya"
"6,3,70,,Tidak,Merah,21,Tidak"
"7,,85,80,Ya,Kuning,5,Ya"
"8,2,,70,Tidak,Hitam,14,Tidak"
"9,5,88,82,Ya,Biru,1,Ya"
"10,1,55,58,Tidak,Merah,11,Tidak"
"11,4,78,74,Ya,Hijau,6,Ya"
"12,3,68,69,Tidak,Hitam,10,Tidak"
"13,6,92,88,Ya,Biru,16,Ya"
"14,2,65,,Tidak,Kuning,2,Tidak"
"15,,80,77,Ya,Merah,20,Ya"
"16,5,91,86,Ya,Biru,8,Ya"
"17,1,52,60,Tidak,Hitam,13,Tidak"
"18,3,72,70,Tidak,Hijau,19,Tidak"
"19,4,84,79,Ya,Merah,15,Ya"
"20,6,96,93,Ya,Biru,4,Ya"
"21,2,61,66,Tidak,Hitam,17,Tidak"
"22,5,89,84,Ya,Kuning,3,Ya"
"23,3,73,71,Tidak,Merah,22,Tidak"
"24,4,82,78,Ya,Biru,6,Ya"
"25,1,49,55,Tidak,Hijau,12,Tidak"
"26,6,94,91,Ya,Biru,9,Ya"
"27,2,64,67,Tidak,Merah,11,Tidak"
"28,4,83,76,Ya,Hitam,7,Ya"
"29,3,71,,Tidak,Kuning,18,Tidak"
"30,5,87,83,Ya,Biru,1,Ya"
"31,1,54,59,Tidak,Hijau,13,Tidak"
"32,6,97,94,Ya,Merah,20,Ya"
"33,4,79,74,Ya,Biru,4,Ya"
"34,2,63,68,Tidak,Hitam,21,Tidak"
"35,5,90,86,Ya,Biru,8,Ya"
"36,3,70,69,Tidak,Kuning,15,Tidak"
"37,4,81,77,Ya,Merah,6,Ya"
"38,1,51,56,Tidak,Hijau,2,Tidak"
"39,6,95,92,Ya,Biru,16,Ya"
"40,2,60,65,Tidak,Hitam,14,Tidak"
"41,5,88,84,Ya,Kuning,5,Ya"
"42,3,72,70,Tidak,Merah,9,Tidak"
"43,4,85,80,Ya,Biru,7,Ya"
"44,1,53,57,Tidak,Hijau,10,Tidak"
"45,6,96,93,Ya,Biru,12,Ya"
"46,2,62,66,Tidak,Hitam,3,Tidak"
"47,5,89,85,Ya,Merah,18,Ya"
"48,3,74,72,Tidak,Kuning,22,Tidak"
"49,4,82,78,Ya,Biru,11,Ya"
"50,1,50,55,Tidak,Hijau,4,Tidak"
"51,6,94,90,Ya,Biru,8,Ya"
"52,2,63,67,Tidak,Hitam,13,Tidak"
"53,5,91,87,Ya,Merah,17,Ya"
"54,3,69,68,Tidak,Kuning,6,Tidak"
"55,4,84,79,Ya,Biru,2,Ya"
"56,1,52,56,Tidak,Hijau,19,Tidak"
"57,6,97,95,Ya,Biru,21,Ya"
"58,2,61,65,Tidak,Hitam,7,Tidak"
"59,5,90,86,Ya,Merah,16,Ya"
"60,3,71,70,Tidak,Kuning,14,Tidak"
