id,luas_tanah,luas_bangunan,jarak_kota,kelas
R084,229,136,2.1,Mahal
R054,144,115,5.2,Mahal
R071,208,118,1.6,Mahal
R046,119,59,10.6,Murah
R045,52,45,12.1,Murah
R040,108,54,14.2,Murah
R023,93,44,14.1,Murah
R081,143,128,5.4,Mahal
R011,62,54,13.2,Murah
R001,89,76,13.8,Murah
R019,53,35,13.3,Murah
R031,55,48,9.8,Murah
R074,145,103,5.1,Mahal
R034,104,80,11.2,Murah
R091,197,95,7.6,Mahal
R005,100,52,11.4,Murah
R077,106,88,3.8,Mahal
R078,138,98,7.6,Mahal
R013,94,44,14.9,Murah
R032,115,84,7.3,Murah
R056,132,113,5.6,Mahal
R089,155,131,6.0,Mahal
R027,82,39,11.5,Murah
R043,79,36,10.0,Murah
R070,152,137,5.1,Mahal
R016,89,73,12.1,Murah
R041,84,34,10.6,Murah
R097,168,150,1.1,Mahal
R010,71,43,7.8,Murah
R073,122,106,6.1,Mahal
R012,106,35,14.8,Murah
R048,57,47,13.6,Murah
R086,142,121,3.2,Mahal
R029,92,48,14.1,Murah
R094,107,89,6.3,Mahal
R006,79,54,12.2,Murah
R067,140,123,7.2,Mahal
R066,128,121,5.9,Mahal
R036,109,39,9.0,Murah
R017,96,50,12.0,Murah
R050,75,50,7.9,Murah
R035,108,74,9.5,Murah
R008,74,59,12.0,Murah
R096,218,109,4.9,Mahal
R028,88,60,10.8,Murah
R020,84,70,12.9,Murah
R082,169,126,2.1,Mahal
R026,107,78,10.7,Murah
R063,188,135,6.1,Mahal
R014,92,37,13.9,Murah
R025,99,53,9.4,Murah
R004,75,46,7.7,Murah
R018,114,75,8.1,Murah
R039,118,64,11.9,Murah
R009,107,56,12.8,Murah
R079,223,173,1.7,Mahal
R007,89,62,8.7,Murah
R065,113,86,5.3,Mahal
R037,63,47,13.2,Murah
R090,203,150,7.3,Mahal
R057,179,141,1.6,Mahal
R100,181,154,4.4,Mahal
R055,158,138,2.7,Mahal
R044,116,34,13.7,Murah
R051,119,114,2.1,Mahal
R068,183,157,7.3,Mahal
R047,74,50,11.3,Murah
R069,161,129,5.1,Mahal
R062,228,120,6.9,Mahal
R098,139,118,4.1,Mahal
R080,121,113,6.0,Mahal
R042,65,54,8.3,Murah
R059,124,95,4.6,Mahal
R049,90,47,7.5,Murah
R099,161,146,4.5,Mahal
R058,134,109,1.3,Mahal
R076,107,92,3.4,Mahal
R033,71,49,9.2,Murah
R095,126,121,3.5,Mahal
R060,164,93,6.3,Mahal
R064,118,105,3.0,Mahal
R085,213,106,4.6,Mahal
R038,57,34,11.5,Murah
R030,94,35,11.8,Murah
R002,109,57,7.4,Murah
R053,151,144,2.0,Mahal
R022,118,76,10.1,Murah
R003,99,59,14.8,Murah
R024,96,40,11.1,Murah
R088,123,105,1.6,Mahal
R092,155,126,6.5,Mahal
R075,213,170,2.3,Mahal
R087,192,100,1.2,Mahal
R083,197,155,4.0,Mahal
R021,61,34,11.0,Murah
R061,222,150,4.9,Mahal
R072,164,105,5.3,Mahal
R015,110,71,7.8,Murah
R093,219,156,6.3,Mahal
R052,211,174,4.6,Mahal
