id,luas_tanah,luas_bangunan,jarak_kota,kelas
R084,211,62,8.2,Murah
R054,106,72,5.1,Murah
R071,71,48,8.7,Murah
R046,218,165,6.9,Mahal
R045,66,35,12.1,Murah
R040,192,144,3.3,Mahal
R023,158,134,4.9,Mahal
R081,212,152,10.1,Mahal
R011,88,80,11.3,Mahal
R001,149,82,10.1,Murah
R019,67,35,3.8,Murah
R031,72,75,14.7,Murah
R074,88,63,6.3,Murah
R034,184,128,9.9,Mahal
R091,72,65,10.8,Murah
R005,174,104,8.9,Murah
R077,87,86,8.1,Mahal
R078,148,127,3.0,Mahal
R013,159,56,11.2,Murah
R032,209,129,2.9,Murah
R056,130,107,6.6,Murah
R089,159,88,5.0,Murah
R027,134,113,5.7,Mahal
R043,127,47,5.5,Murah
R070,177,83,10.7,Murah
R016,149,127,10.7,Mahal
R041,137,124,8.5,Murah
R097,129,117,9.6,Murah
R010,109,87,7.2,Mahal
R073,100,89,5.1,Murah
R012,188,132,2.0,Mahal
R048,76,64,13.6,Mahal
R086,87,67,8.8,Mahal
R029,156,113,4.7,Mahal
R094,74,60,9.2,Murah
R006,127,95,6.6,Mahal
R067,118,106,8.8,Mahal
R066,211,78,7.4,Murah
R036,194,58,7.9,Murah
R017,165,131,14.9,Murah
R050,117,81,9.7,Mahal
R035,192,48,6.6,Murah
R008,116,51,9.2,Murah
R096,144,116,2.2,Mahal
R028,146,124,4.5,Murah
R020,137,53,11.6,Murah
R082,215,102,2.1,Mahal
R026,190,178,12.9,Mahal
R063,101,89,13.1,Murah
R014,156,69,1.8,Mahal
R025,171,176,5.6,Mahal
R004,117,47,8.0,Murah
R018,205,141,6.1,Mahal
R039,214,82,5.1,Mahal
R009,190,162,14.5,Mahal
R079,114,116,9.3,Murah
R007,149,117,12.5,Murah
R065,179,112,10.2,Mahal
R037,91,84,5.8,Mahal
R090,130,129,9.6,Mahal
R057,152,132,9.1,Mahal
R100,117,55,3.7,Mahal
R055,124,104,2.9,Mahal
R044,209,94,3.5,Mahal
R051,202,159,14.1,Mahal
R068,190,114,7.8,Mahal
R047,114,82,1.9,Mahal
R069,76,48,7.1,Murah
R062,74,83,4.3,Murah
R098,209,48,11.2,Murah
R080,75,79,4.4,Mahal
R042,96,82,14.8,Murah
R059,137,83,11.8,Murah
R049,152,64,5.2,Mahal
R099,109,113,9.1,Murah
R058,183,164,7.8,Mahal
R076,200,119,3.2,Mahal
R033,108,49,4.1,Mahal
R095,148,141,9.1,Mahal
R060,97,68,9.0,Murah
R064,81,44,3.5,Mahal
R085,187,73,11.6,Murah
R038,78,55,1.8,Mahal
R030,160,54,7.9,Murah
R002,195,160,8.9,Mahal
R053,145,41,13.9,Mahal
R022,214,148,2.1,Mahal
R003,173,126,8.8,Mahal
R024,165,174,4.9,Mahal
R088,73,59,11.3,Murah
R092,194,104,13.4,Mahal
R075,126,91,11.4,Murah
R087,208,138,12.8,Mahal
R083,128,93,1.7,Mahal
R021,85,79,5.7,Mahal
R061,173,157,4.6,Mahal
R072,192,75,10.2,Murah
R015,197,50,5.8,Murah
R093,78,65,13.6,Murah
R052,140,104,12.4,Murah
