ID,Age,StudyHours,SleepHours,ScreenTime,CaffeineCups,RandomNote,StressLevel
1,20,5,7,4,2,noteA,Low
2,21,6,6,5,3,noteB,Medium
3,19,8,5,7,4,noteC,High
4,22,2,8,3,1,noteD,Low
5,20,7,6,6,3,noteE,Medium
6,23,9,4,8,5,noteF,High
7,21,4,7,4,2,noteG,Low
8,22,6,6,5,3,noteH,Medium
9,20,10,3,9,6,noteI,High
10,19,3,8,3,1,noteJ,Low
11,21,7,5,6,4,noteK,High
12,22,5,6,5,3,noteL,Medium
13,20,6,7,4,2,noteM,Low
14,21,8,4,7,5,noteN,High
15,23,7,5,6,4,noteO,Medium
16,22,6,,5,3,noteP,Medium
17,21,,6,4,2,noteQ,Low
18,20,5,7,,2,noteR,Low
19,22,6,6,5,,noteS,Medium
20,21,7,5,6,4,noteT,High
21,21,7,5,6,4,noteT,High
22,24,30,1,20,15,noteOutlier,High
23,18,0,12,1,0,noteOutlier2,Low
24,20,6,6,5,3,noteU,Medium
25,19,5,7,4,2,noteV,Low
26,22,8,5,7,4,noteW,High
27,21,6,6,5,3,noteX,Medium
28,20,4,7,4,2,noteY,Low
29,23,9,4,8,5,noteZ,High
30,22,6,6,5,3,noteAA,Medium
